=== Análisis de cero1.wav ===
MFCC Coeficientes estándar:[num ventana [coeficientes ventana]]
[1 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[2 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[3 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[4 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[5 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[6 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[7 [0.0228, 0.0219, 0.0193, 0.0152, 0.0099, 0.0038, -0.0026, -0.0087, -0.0142, -0.0186, -0.0215, -0.0228]]
[8 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[9 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[10 [0.1398, 0.1310, 0.1058, 0.0676, 0.0215, -0.0262, -0.0693, -0.1023, -0.1211, -0.1238, -0.1106, -0.0841]]
[11 [0.2513, 0.2387, 0.2024, 0.1464, 0.0768, 0.0012, -0.0724, -0.1364, -0.1847, -0.2130, -0.2196, -0.2051]]
[12 [0.2649, 0.2515, 0.2130, 0.1536, 0.0799, -0.0001, -0.0778, -0.1451, -0.1956, -0.2248, -0.2309, -0.2147]]
[13 [1.3429, 1.2035, 0.8299, 0.3387, -0.1264, -0.4483, -0.5756, -0.5328, -0.3989, -0.2666, -0.2013, -0.2168]]
[14 [1.4278, 1.1953, 0.7408, 0.1557, -0.4060, -0.6693, -0.7070, -0.5113, -0.2599, -0.0735, -0.0174, -0.1554]]
[15 [1.7176, 1.3736, 0.8714, 0.2446, -0.4452, -0.7010, -0.7376, -0.5505, -0.3199, -0.1338, -0.0961, -0.2798]]
[16 [1.7084, 1.1756, 0.6364, 0.0272, -0.7568, -0.8275, -0.6882, -0.3678, -0.0765, 0.1463, 0.1270, -0.2172]]
[17 [2.3228, 1.3747, 0.5486, 0.0555, -0.7349, -0.8314, -0.7549, -0.3541, -0.0634, 0.1417, 0.1332, -0.3823]]
[18 [2.0843, 1.2924, 0.5840, 0.0515, -0.7673, -0.8541, -0.6862, -0.2848, -0.0403, 0.1041, 0.0660, -0.3447]]
[19 [2.3304, 1.2693, 0.3813, -0.1101, -0.8707, -0.8361, -0.6516, -0.2401, -0.0741, 0.1387, 0.1735, -0.3194]]
[20 [2.3104, 1.3426, 0.5808, -0.0466, -1.0608, -0.9693, -0.6599, -0.2547, -0.0772, 0.1220, 0.1446, -0.3366]]
[21 [2.2678, 1.3976, 0.7020, -0.0007, -1.0414, -0.9570, -0.7430, -0.3987, -0.1387, 0.1287, 0.1517, -0.3125]]
[22 [1.5643, 1.2200, 0.7543, 0.1523, -0.5293, -0.7697, -0.8196, -0.5975, -0.3155, -0.0680, 0.0502, -0.1136]]
[23 [0.8516, 0.7658, 0.5332, 0.2186, -0.0959, -0.3391, -0.4722, -0.4957, -0.4410, -0.3520, -0.2646, -0.1950]]
[24 [1.6835, 1.2975, 0.7100, 0.0379, -0.5919, -0.6906, -0.5564, -0.2752, -0.0760, -0.0148, -0.1125, -0.3771]]
[25 [3.8203, 1.4230, 0.1692, -0.2597, -1.4140, -0.9017, -0.4209, 0.1986, -0.4012, 0.1981, 0.3996, -0.6603]]
[26 [4.1290, 1.2115, -0.0809, -0.3879, -1.2300, -0.9044, -0.4483, 0.1425, -0.6403, 0.1946, 0.5642, -0.6300]]
[27 [3.7741, 1.1812, 0.0942, -0.4326, -1.2452, -0.7514, -0.2912, 0.0721, -0.8521, 0.1556, 0.5606, -0.3908]]
[28 [3.5792, 1.0444, -0.0639, -0.4891, -1.2091, -0.6420, 0.1283, 0.4787, -0.9775, -0.3643, 0.3909, -0.6158]]
[29 [3.2267, 0.9528, -0.0492, -0.4661, -1.2090, -0.3732, 0.4469, 0.7676, -0.7768, -0.4862, -0.1769, -1.0809]]
[30 [2.5405, 0.9469, 0.1287, -0.2493, -0.8852, -0.1884, 0.4164, 0.6485, -0.6972, -0.6388, -0.5763, -1.1328]]
[31 [1.8188, 0.8335, 0.1831, -0.0964, -0.4674, -0.0746, 0.4022, 0.4441, -0.5804, -0.6820, -0.7222, -0.9863]]
[32 [1.4116, 0.7720, 0.2476, 0.0560, -0.1464, 0.0537, 0.3587, 0.2091, -0.6639, -0.7902, -0.7419, -0.7517]]
[33 [0.8752, 0.6182, 0.2524, 0.0971, -0.0253, 0.0042, 0.1584, -0.0446, -0.4724, -0.6208, -0.5981, -0.4932]]
[34 [0.4805, 0.4118, 0.2500, 0.0921, 0.0106, -0.0008, -0.0138, -0.0959, -0.2459, -0.3876, -0.4301, -0.3425]]
[35 [0.1238, 0.0988, 0.0422, -0.0068, -0.0195, -0.0010, 0.0164, 0.0017, -0.0461, -0.0967, -0.1124, -0.0799]]
[36 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[37 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[38 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[39 [0.0294, 0.0282, 0.0249, 0.0196, 0.0127, 0.0049, -0.0033, -0.0112, -0.0183, -0.0240, -0.0277, -0.0293]]
[40 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[41 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[42 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[43 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]
[44 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000, -0.0000]]
[45 [0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000]]

MFCC Coeficientes custom:[num ventana [coeficientes ventana]]
[1 [-716.0132,   71.921 ,    6.9831, ...,    0.    ,    0.    ,    0.    ]]
[2 [0.  , 0.01, 0.02, ..., 0.  , 0.  , 0.  ]]
[3 [-123.7395, -106.1903,  -93.7509, ..., -152.1901, -153.1632, -154.1567]]


